ITENS,VALOR
"Camisa tecido malha PV 30.1, modelo tipo polo, 67% viscose, 33% poliester, manga curta.",46.17
"Calça de Tecido 67% algodão 33% poliester, sarja 3x1",64.27
"Boné  de Tecido 67% algodão 33% poliester, sarja 2x1",26.97
"Jaqueta  de Tecido 67% algodão 33% poliester, sarja 3x1",116.00
Sapato de proteção sem cano,98.44
"Capa de chuva, manga longa, com faixas refletivas",16.57
Luvas de malha tricotada,03.07
Protetor solar FPS 30,13.01
"Calça de Tecido, 67% Algodão e 33% Poliéster, Sarja 3/1",64.27
"Camisa de Tecido de Malha PV 30.1, modelo tipo Polo, 67% Viscose e 33% Poliéster",46.17
"Boné  de Tecido, 67% Algodão e 33% Poliéster , sarja 2x1",26.97
Jaqueta  de Tecido 67% Algodão e 33% Poliéster,116.00
Capa Contra Chuva com Manga Longa,16.57
Sapato de Proteção Sem Cano,98.44
Luvas de Vaqueta com punhos de Raspa,27.97
Creme Bloqueador Solar UVA/UVB FPS 30,12.01
Luvas Nitrílica (para dias de chuva),6.94
"Calça de Tecido, 67% Algodão e 33% Poliéster, Sarja 3/1",46.17
"Camisa de Tecido de Malha PV 30.1, modelo tipo Polo, 67% Viscose e 33% Poliéster",46.17
Jaqueta  de Tecido 67% Algodão e 33% Poliéster,116.00
"Boné  de Tecido, 67% Algodão e 33% Poliéster , sarja 2x1",26.97
Capa Contra Chuva com Manga Longa,98.44
Luvas de Vaqueta com punhos de Raspa,44.61
Creme Bloqueador Solar UVA/UVB FPS 30,13.01
Óculos de Segurança (ampla visão),4.97
"Calçado de Proteção com salto, tipo borzeguim",99.95
Máscara contra poeira PFF1 (azul),1.42
Luva de PVC cano longo,24.52
"Camisa tecido malha PV 30.1, modelo tipo polo, 67% viscose, 33% poliester, manga longa",57.25
"Calça de Tecido 67% algodão 33% poliester, sarja 3x1",64.27
"Boné  de Tecido 67% algodão 33% poliester, sarja 2x1",26.97
"Jaqueta  de Tecido 67% algodão 33% poliester, sarja 3x1",116.00
Sapato de proteção sem cano (Solado de poliuretano bidensidade),98.44
"Capa de chuva, manga longa, com faixas refletivas",16.57
Luva de Raspa vaqueta,27.97
Avental em raspa,37.86
Capacete com protetores auricular tipo concha e facial em acrílico,111.17
Perneira em Bidin,26.20
Cinto de segurança tipo paraquedista,61.20
Protetor solar FPS 30,13.01
"Camisa tecido malha PV 30.1, modelo tipo polo, 67% viscose, 33% poliester, manga curta.",46.17
"Calça de Tecido 67% algodão 33% poliester, sarja 3x1",64.27
"Boné  de Tecido 67% algodão 33% poliester, sarja 2x1",26.97
"Jaqueta  de Tecido 67% algodão 33% poliester, sarja 3x1",116.00
Sapato de proteção sem cano,98.44
Creme Bloqueador Solar UVA/UVB FPS 30,13.01
Cinto de Segurança,61.20
Corda de Nylon - 30m,163.26
Bota de PVC cano longo com palmilha de aço,71.44
Treinamento de Trabalho em Altura,183.01
Material auxiliar: equipamentos “mobile”,115.29
"Camisa tecido malha PV 30.1, modelo tipo polo, 67% viscose, 33% poliester, manga curta.",46.17
"Calça de Tecido 67% algodão 33% poliester, sarja 3x1",64.27
"Boné  de Tecido 67% algodão 33% poliester, sarja 2x1",26.97
"Jaqueta  de Tecido 67% algodão 33% poliester, sarja 3x1",116.00
Sapato de proteção sem cano,98.44
Creme Bloqueador Solar UVA/UVB FPS 30,13.01
Colete de identificação,44.87
"Boné  de Tecido, 67% Algodão e 33% Poliéster , sarja 2x1",26.97
Capa Contra Chuva com Manga Longa,16.57
Creme Bloqueador Solar UVA/UVB FPS 30,12.01
Sapato de Proteção Sem Cano,07.04
"Calça de Tecido, 67% Algodão e 33% Poliéster, Sarja 3/1",64.27
"Camisa de Tecido de Malha PV 30.1, modelo tipo Polo, 67% Viscose e 33% Poliéster",57.25
"Boné  de Tecido, 67% Algodão e 33% Poliéster , sarja 2x1",26.97
Jaqueta  de Tecido 67% Algodão e 33% Poliéster,116.00
Capa Contra Chuva com Manga Longa,16.57
"Calçado de Proteção com salto, tipo borzeguim",99.95
Luvas de Vaqueta com punhos de Raspa,27.97
Creme Bloqueador Solar UVA/UVB FPS 30,12.01
Máscara contra poeira PFF1 (azul),1.42
Cinto de Segurança,61.20
Corda de Nylon - 30m,11.06
